time,msg,codes,model,short_width,long_width,gap_limit,reset_limit,lengthBits,hex_data,binary_data,rowCount
@0.031347s,,,Unknown1,500.000,500.000,7000.000,10000.000,162,AAAAAAAAAAAAAAAA2DD4075B0A013000E078022400,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000010100000000100110000000000001110000001111000000000100010010000,1
@0.031319s,,,Unknown1,500.000,500.000,7000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4DE6605009900793C0040,101010101010101010101010101010101010101010101010101010101010101000101101110101001101111001100110000001010000000010011001000000000111100100111100000000000100,1
@0.046527s,,,Unknown1,500.000,500.000,7000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4DCCC05013200FF780080,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000000010100000001001100100000000011111111011110000000000010000,1
@0.154195s,,,Unknown1,500.000,500.000,7000.000,10000.000,147,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100011010100010000011001000110010001100100000000000000,1
@0.154199s,,,Unknown1,500.000,500.000,7000.000,10000.000,147,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100011010100010000011001000110010001100100000000000000,1
@0.045933s,,,Unknown1,500.000,500.000,7000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4DCCC0501320100780088,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000000101000000010011001000000001000000000111100000000000100010,1
@0.021247s,,,Unknown1,500.000,500.000,7000.000,10000.000,161,AAAAAAAAAAAAAAAA2DD4DCCC0A013200F270013800,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000001010000000010011001000000000111100100111000000000001001110000,1
@0.129604s,,,Unknown1,500.000,500.000,7000.000,10000.000,147,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100011010100010000011001000110010001100100000000000000,1
@0.056198s,,,Unknown1,500.000,500.000,7000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4DCCC05013200FF780080,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000000010100000001001100100000000011111111011110000000000010000,1
@0.023203s,,,Unknown1,500.000,500.000,7000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F1780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111000101111000000000100010,1
@0.046257s,,,Unknown1,500.000,500.000,7000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4DCCC0501320100780088,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000000101000000010011001000000001000000000111100000000000100010,1
